Category number,E-number,Name,Maximum level (mg/l or mg/kg as appropriate),Footnotes,Restrictions/exceptions,Category name
0,E 290,Carbon dioxide,quantum satis,,may be used in foods for infants and young children,All categories of foods
0,E 938,Argon,quantum satis,,may be used in foods for infants and young children,All categories of foods
0,E 939,Helium,quantum satis,,may be used in foods for infants and young children,All categories of foods
0,E 941,Nitrogen,quantum satis,,may be used in foods for infants and young children,All categories of foods
0,E 942,Nitrous oxide,quantum satis,,may be used in foods for infants and young children,All categories of foods
0,E 948,Oxygen,quantum satis,,may be used in foods for infants and young children,All categories of foods
0,E 949,Hydrogen,quantum satis,,may be used in foods for infants and young children,All categories of foods
0,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",10 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5 ; The maximum level shall apply unless a different maximum level is specified in points 01 to 18 of this Annex in relation to individual foods or categories of foods,"only foods in dried powdered form (i.e. foods dried during the production process, and mixtures thereof), excluding foods listed in Table 1 of Part A of this Annex",All categories of foods
0,E 551-559,Silicon dioxide - silicates,10 000,The additives may be added individually or in combination ; The maximum level shall apply unless a different maximum level is specified in points 01 to 18 of this Annex in relation to individual foods or categories of foods,"only foods in dried powdered form (i.e. foods dried during the production process, and mixtures thereof), excluding foods listed in table 1 of Part A of this Annex
 Period of application:
 until 31 January 2014",All categories of foods
0,E 551-553,Silicon dioxide - silicates,10 000,The additives may be added individually or in combination ; The maximum level shall apply unless a different maximum level is specified in points 01 to 18 of this Annex in relation to individual foods or categories of foods,"only foods in dried powdered form (i.e. foods dried during the production process, and mixtures thereof), excluding foods listed in Table 1 of Part A of this Annex",All categories of foods
0,E 459,Beta-cyclodextrin,quantum satis,,"only foods in tablet and coated tablet form, excluding the foods listed in Table 1 of Part A of this Annex",All categories of foods
0,E 551-559,Silicon dioxide - silicates,quantum satis,The additives may be added individually or in combination,"only foods in tablet and coated tablet form, excluding the foods listed in table 1 of Part A of this Annex
 Period of application:
 until 31 January 2014",All categories of foods
0,E 551-553,Silicon dioxide - silicates,quantum satis,The additives may be added individually or in combination,"only foods in tablet and coated tablet form, excluding the foods listed in Table 1 of Part A of this Annex",All categories of foods
01.1,E 331,Sodium citrates,4 000,,only UHT goat milk,Unflavoured pasteurised and sterilised (including UHT) milk
01.1,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",1 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,only sterilised and UHT milk,Unflavoured pasteurised and sterilised (including UHT) milk
01.3,Group I,Additives,,,,"Unflavoured fermented milk products, heat-treated after fermentation"
01.3,E 200 - 202,Sorbic acid - potassium sorbate,1 000,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,only curdled milk,"Unflavoured fermented milk products, heat-treated after fermentation"
01.4,Group I,Additives,,,,Flavoured fermented milk products including heat-treated products
01.4,Group II,Colours at quantum satis,quantum satis,,"Period of application:
 until 31 July 2014",Flavoured fermented milk products including heat-treated products
01.4,Group II,Colours at quantum satis,quantum satis,Maximum limit for aluminium coming from all aluminium lakes 15 mg/kg. For the purposes of Article 22 (1): (g) of Regulation (EC) No 1333/2008 that limit shall apply from 1 February 2013,"Period of application:
 from 1 August 2014",Flavoured fermented milk products including heat-treated products
01.4,Group III,Colours with combined maximum limit,150,,"Period of application:
 until 31 July 2014",Flavoured fermented milk products including heat-treated products
01.4,Group III,Colours with combined maximum limit,150,Maximum limit for aluminium coming from all aluminium lakes 15 mg/kg. For the purposes of Article 22 (1): (g) of Regulation (EC) No 1333/2008 that limit shall apply from 1 February 2013,"Period of application:
 from 1 August 2014",Flavoured fermented milk products including heat-treated products
01.4,Group IV,Polyols,quantum satis,,only energy-reduced products or with no added sugar,Flavoured fermented milk products including heat-treated products
