E number of the added food additive,Name of the added food additive,Maximum level in enzyme preparation,Maximum level in final food except beverages,Maximum level in beverages,Can be used as a carrier?
E 170,Calcium carbonate,quantum satis,quantum satis,quantum satis,Yes
E 200,Sorbic acid,20 000mg/kg (singly or in combination expressed as the free acid),20mg/kg,10mg/l,
E 202,Potassium sorbate,20 000mg/kg (singly or in combination expressed as the free acid),20mg/kg,10mg/l,
E 210,Benzoic acid,"5 000mg/kg (singly or in combination expressed as the free acid)
 12 000mg/kg in rennet","1,7 mg/kg
 5 mg/kg in cheese where rennet has been used","0,85 mg/l
 2,5 mg/l in whey based beverages where rennet has been used",
E 211,Sodium benzoate,"5 000mg/kg (singly or in combination expressed as the free acid)
 12 000mg/kg in rennet","1,7 mg/kg
 5 mg/kg in cheese where rennet has been used","0,85 mg/l
 2,5 mg/l in whey based beverages where rennet has been used",
E 214,Ethyl-p-hydroxybenzoate,2 000mg/kg (singly or in combination expressed as the free acid),2mg/kg,1mg/l,
E 215,Sodium ethyl p-hydroxybenzoate,2 000mg/kg (singly or in combination expressed as the free acid),2mg/kg,1mg/l,
E 218,Methyl p-hydroxybenzoate,2 000mg/kg (singly or in combination expressed as the free acid),2mg/kg,1mg/l,
E 219,Sodium methyl p-hydroxybenzoate,2 000mg/kg (singly or in combination expressed as the free acid),2mg/kg,1mg/l,
E 220,Sulphur dioxide,"2 000mg/kg (singly or in combination expressed as SO2)
 5 000mg/kg only in food enzymes for brewing
 6 000mg/kg only for barley beta-amylase
 10 000mg/kg only for papain in solid form",2mg/kg,2mg/l,
E 221,Sodium sulphite,"2 000mg/kg (singly or in combination expressed as SO2)
 5 000mg/kg only in food enzymes for brewing
 6 000mg/kg only for barley beta-amylase
 10 000mg/kg only for papain in solid form",2mg/kg,2mg/l,
E 222,Sodium hydrogen sulphite,"2 000mg/kg (singly or in combination expressed as SO2)
 5 000mg/kg only in food enzymes for brewing
 6 000mg/kg only for barley beta-amylase
 10 000mg/kg only for papain in solid form",2mg/kg,2mg/l,
E 223,Sodium metabisulphite,"2 000mg/kg (singly or in combination expressed as SO2)
 5 000mg/kg only in food enzymes for brewing
 6 000mg/kg only for barley beta-amylase
 10 000mg/kg only for papain in solid form",2mg/kg,2mg/l,
E 224,Potassium metabisulphite,"2 000mg/kg (singly or in combination expressed as SO2)
 5 000mg/kg only in food enzymes for brewing
 6 000mg/kg only for barley beta-amylase
 10 000mg/kg only for papain in solid form",2mg/kg,2mg/l,
E 250,Sodium nitrite,500mg/kg,"0,01mg/kg",No use,
E 260,Acetic acid,quantum satis,quantum satis,quantum satis,Yes
E 261,Potassium acetates,quantum satis,quantum satis,quantum satis,
E 262,Sodium acetates,quantum satis,quantum satis,quantum satis,
E 263,Calcium acetate,quantum satis,quantum satis,quantum satis,
E 270,Lactic acid,quantum satis,quantum satis,quantum satis,Yes
E 281,Sodium propionate,quantum satis,quantum satis,50mg/l,
E 290,Carbon dioxide,quantum satis,quantum satis,quantum satis,
E 296,Malic acid,quantum satis,quantum satis,quantum satis,Yes
E 300,Ascorbic acid,quantum satis,quantum satis,quantum satis,Yes
E 301,Sodium ascorbate,quantum satis,quantum satis,quantum satis,Yes
E 302,Calcium ascorbate,quantum satis,quantum satis,quantum satis,Yes
E 304,Fatty acid esters of ascorbic acid,quantum satis,quantum satis,quantum satis,
E 306,Tocopherol-rich extract,quantum satis,quantum satis,quantum satis,
E 307,Alpha-tocopherol,quantum satis,quantum satis,quantum satis,
E 308,Gamma-tocopherol,quantum satis,quantum satis,quantum satis,
E 309,Delta-tocopherol,quantum satis,quantum satis,quantum satis,
E 322,Lecithins,quantum satis,quantum satis,quantum satis,Yes
E 325,Sodium lactate,quantum satis,quantum satis,quantum satis,
E 326,Potassium lactate,quantum satis,quantum satis,quantum satis,
E 327,Calcium lactate,quantum satis,quantum satis,quantum satis,Yes
E 330,Citric acid,quantum satis,quantum satis,quantum satis,Yes
E 331,Sodium citrates,quantum satis,quantum satis,quantum satis,Yes
E 332,Potassium citrates,quantum satis,quantum satis,quantum satis,Yes
E 333,Calcium citrates,quantum satis,quantum satis,quantum satis,
E 334,Tartaric acid (L(+)-),quantum satis,quantum satis,quantum satis,
E 335,Sodium tartrates,quantum satis,quantum satis,quantum satis,Yes
E 336,Potassium tartrates,quantum satis,quantum satis,quantum satis,Yes
E 337,Sodium potassium tartrate,quantum satis,quantum satis,quantum satis,
E 350,Sodium malates,quantum satis,quantum satis,quantum satis,Yes
