E number of the food additive,Name of the food additive,Maximum level,Nutrient to which the food additive may be added,Can be used as a carrier?
E 170,Calcium carbonate,quantum satis,All nutrients,Yes
E 260,Acetic acid,quantum satis,All nutrients,
E 261,Potassium acetates,quantum satis,All nutrients,
E 262,Sodium acetates,quantum satis,All nutrients,
E 263,Calcium acetate,quantum satis,All nutrients,
E 270,Lactic acid,quantum satis,All nutrients,
E 290,Carbon dioxide,quantum satis,All nutrients,
E 296,Malic acid,quantum satis,All nutrients,
E 300,Ascorbic acid,quantum satis,All nutrients,
E 301,Sodium ascorbate,quantum satis,All nutrients,
E 302,Calcium ascorbate,quantum satis,All nutrients,
E 304,Fatty acid esters of ascorbic acid,quantum satis,All nutrients,
E 306,Tocopherol-rich extract,quantum satis,All nutrients,
E 307,Alpha-tocopherol,quantum satis,All nutrients,
E 308,Gamma-tocopherol,quantum satis,All nutrients,
E 309,Delta-tocopherol,quantum satis,All nutrients,
E 322,Lecithins,quantum satis,All nutrients,Yes
E 325,Sodium lactate,quantum satis,All nutrients,
E 326,Potassium lactate,quantum satis,All nutrients,
E 327,Calcium lactate,quantum satis,All nutrients,
E 330,Citric acid,quantum satis,All nutrients,
E 331,Sodium citrates,quantum satis,All nutrients,
E 332,Potassium citrates,quantum satis,All nutrients,
E 333,Calcium citrates,quantum satis,All nutrients,
E 334,Tartaric acid (L(+)-),quantum satis,All nutrients,
E 335,Sodium tartrates,quantum satis,All nutrients,
E 336,Potassium tartrates,quantum satis,All nutrients,
E 337,Sodium potassium tartrate,quantum satis,All nutrients,
E 338 - E 452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates (Table 6 of Part 6)",40 000mg/kg expressed as P2O5 in the nutrient preparation,All nutrients,
E 350,Sodium malates,quantum satis,All nutrients,
E 351,Potassium malate,quantum satis,All nutrients,
E 352,Calcium malates,quantum satis,All nutrients,
E 354,Calcium tartrate,quantum satis,All nutrients,
E 380,Triammonium citrate,quantum satis,All nutrients,
E 392,Extracts of rosemary,"1 000mg/kg in the preparation of beta-carotene and lycopene, 5 mg/kg in final product expressed as the sum of carnosic acid and carnosol",In beta-carotene and lycopene preapartions,
E 400 - E 404,Alginic acid - alginates (Table 7 of Part 6),quantum satis,All nutrients,Yes
E 406,Agar,quantum satis,All nutrients,Yes
E 407,Carrageenan,quantum satis,All nutrients,Yes
E 407a,Processed euchema seaweed,quantum satis,All nutrients,Yes
E 410,Locust bean gum,quantum satis,All nutrients,Yes
E 412,Guar gum,quantum satis,All nutrients,Yes
E 413,Tragacanth,quantum satis,All nutrients,Yes
E 414,Acacia gum (gum arabic),quantum satis,All nutrients,Yes
E 415,Xanthan gum,quantum satis,All nutrients,Yes
E 417,Tara gum,quantum satis,All nutrients,Yes
E 418,Gellan gum,quantum satis,All nutrients,Yes
E 420,Sorbitol,quantum satis,All nutrients,"Yes, only as a carrier"
E 421,Mannitol,quantum satis,All nutrients,"Yes, only as a carrier"
E 422,Glycerol,quantum satis,All nutrients,Yes
E 432 - E 436,Polysorbates (Table 4 of Part 6),"quantum satis only in beta carotene, lutein, lycopene and vitamin E preparations. In vitamin A and D preparations maximum level in final food 2 mg/kg","In beta carotene, lutein, lycopene and vitamins A, D and E preparations",Yes
E 440,Pectins,quantum satis,All nutrients,Yes
E 459,Beta-cyclodextrin,100 000mg/kg in the preparation and 1 000mg/kg in final food,All nutrients,Yes
E 460,Cellulose,quantum satis,All nutrients,Yes
E 461,Methyl cellulose,quantum satis,All nutrients,Yes
E 462,Ethyl cellulose,quantum satis,All nutrients,Yes
E 463,Hydroxypropyl cellulose,quantum satis,All nutrients,Yes
E 464,Hydroxypropyl methyl cellulose,quantum satis,All nutrients,Yes
E 465,Ethyl methyl cellulose,quantum satis,All nutrients,Yes
E 466,"Sodium carboxy methyl cellulose,
 Cellulose gum",quantum satis,All nutrients,Yes
E 469,Enzymatically hydrolysed carboxy methyl cellulose,quantum satis,All nutrients,Yes
E 470a,"Sodium, potassium and calcium salts of fatty acids",quantum satis,All nutrients,Yes
E 470b,Magnesium salts of fatty acids,quantum satis,All nutrients,Yes
E 471,Mono- and diglycerides of fatty acids,quantum satis,All nutrients,Yes
E 472a,Acetic acid esters of mono- and diglycerides of fatty acids,quantum satis,All nutrients,Yes
E 472b,Lactic acid esters of mono- and diglycerides of fatty acids,quantum satis,All nutrients,Yes
E 472c,Citric acid esters of mono- and diglycerides of fatty acids,quantum satis,All nutrients,Yes
E 472d,Tartaric acid esters of mono- and diglycerides of fatty acids,quantum satis,All nutrients,Yes
E 472e,Mono- and diacetyl tartaric acid esters of mono- and diglycerides of fatty acids,quantum satis,All nutrients,Yes
E 472f,Mixed acetic and tartaric acid esters of mono- and diglycerides of fatty acids,quantum satis,All nutrients,Yes
E 473,Sucrose esters of fatty acids,quantum satis,"In beta carotene, lutein, lycopene and vitamin E preparations",Yes
E 473,Sucrose esters of fatty acids,2 mg/kg in final food,In vitamin A and D preparations,Yes
E 475,Polyglycerol esters of fatty acids,quantum satis,"In beta carotene, lutein, lycopene and vitamin E preparations",Yes
E 475,Polyglycerol esters of fatty acids,2 mg/kg in final food,In vitamin A and D preparations,Yes
E 491 - E 495,Sorbitan esters (Table 5 of Part 6),quantum satis,"In beta carotene, lutein, lycopene and vitamin E preparations",Yes
E 491 - E 495,Sorbitan esters (Table 5 of Part 6),2 mg/kg in final food,In vitamin A and D preparations,Yes
E 500,Sodium carbonates,quantum satis,All nutrients,Yes
