Foodstuffs (9),Foodstuffs (9),"Maximum levels
                     (mg/kg wet weight)"
3.1,Lead,
3.1.1,"Raw milk (14), heat-treated milk and milk for the manufacture of milk-based products","0,020"
3.1.2,Infant formulae and follow-on formulae,
,marketed as powder (11) (33),"0,050"
,marketed as liquid (11) (33),"0,010"
3.1.3,Processed cereal-based foods and baby foods for infants and young children (11) (33) other than 3.1.5,"0,050"
3.1.4,Foods for special medical purposes (11) intended specifically for infants and young children,
,marketed as powder (33),"0,050"
,marketed as liquid (33),"0,010"
3.1.5,"Drinks for infants and young children labelled and sold as such, other than those mentioned in 3.1.2 and 3.1.4",
,marketed as liquids or to be reconstituted following instructions of the manufacturer including fruit juices (12),"0,030"
,to be prepared by infusion or decoction (33),"1,50"
3.1.6,"Meat (excluding offal) of bovine animals, sheep, pig and poultry (14)","0,10"
3.1.7,"Offal of bovine animals, sheep, pig and poultry (14)","0,50"
3.1.8,Muscle meat of fish (29) (30),"0,30"
3.1.9,Cephalopods (55),"0,30"
3.1.10,Crustaceans (31) (47),"0,50"
3.1.11,Bivalve molluscs (31),"1,50"
3.1.12,Cereals and pulses,"0,20"
3.1.13,"Vegetables excluding leafy brassica, salsify, leaf vegetables & fresh herbs, fungi, seaweed and fruiting vegetables (32) (56)","0,10"
3.1.14,"Leafy brassica, salsify, leaf vegetables excluding fresh herbs and the following fungi Agaricus bisporus (common mushroom), Pleurotus ostreatus (Oyster mushroom), Lentinula edodes (Shiitake mushroom) (32)","0,30"
3.1.15,Fruiting vegetables,
,sweetcorn (32),"0,10"
,other than sweetcorn (32),"0,05"
3.1.16,"Fruit, excluding cranberries, currants, elderberries and strawberry tree fruit (32)","0,10"
3.1.17,"Cranberries, currants, elderberries and strawberry tree fruit (32)","0,20"
3.1.18,"Fats and oils, including milk fat","0,10"
3.1.19,"Fruit juices, concentrated fruit juices as reconstituted and fruit nectars",
,exclusively from berries and other small fruits (20),"0,05"
,from fruits other than berries and other small fruits (20),"0,03"
3.1.20,"Wine (including sparkling wine, excluding liqueur wine), cider, perry and fruit wine (17)",
,products produced from the 2001 fruit harvest to 2015 fruit harvest,"0,20"
,products produced from the 2016 fruit harvest onwards,"0,15"
3.1.21,"Aromatised wine, aromatised wine-based drinks and aromatised wine-product cocktails (19)",
,products produced from the 2001 fruit harvest to 2015 fruit harvest,"0,20"
