FCM substance No,Ref. No,CAS No,Substance name,"Use as additive or polymer production aid
                     (yes/no)","Use as monomer or other starting substance or macromolecule obtained from microbial fermentation
                     (yes/no)","FRF applicable
                     (yes/no)","SML
                     [mg/kg]","SML(T)
                     [mg/kg]
                     (Group restriction No)",Restrictions and specifications,Notes on verification of compliance
1,12310,0266309-43-7,albumin,no,yes,no,,,,
2,12340,,"albumin, coagulated by formaldehyde",no,yes,no,,,,
3,12375,,"alcohols, aliphatic, monohydric, saturated, linear, primary (C4-C22)",no,yes,no,,,,
4,22332,,"mixture of (40 % w/w) 2,2,4-trimethylhexane-1,6-diisocyanate and (60 % w/w) 2,4,4-trimethylhexane-1,6-diisocyanate",no,yes,no,,'(17),1 mg/kg in final product expressed as isocyanate moiety.,'(10)
5,25360,,"trialkyl(C5-C15)acetic acid, 2,3-epoxypropyl ester",no,yes,no,ND,,1 mg/kg in final product expressed as epoxygroup. Molecular weight is 43 Da.,
6,25380,,"trialkyl acetic acid (C7-C17), vinyl esters",no,yes,no,"0,05",,,'(1)
7,30370,,"acetylacetic acid, salts",yes,no,no,,,,
8,30401,,acetylated mono- and diglycerides of fatty acids,yes,no,no,,'(32),,
9,30610,,"acids, C2-C24, aliphatic, linear, monocarboxylic from natural oils and fats, and their mono-, di- and triglycerol esters (branched fatty acids at naturally occuring levels are included)",yes,no,no,,,,
10,30612,,"acids, C2-C24, aliphatic, linear, monocarboxylic, synthetic and their mono-, di- and triglycerol esters",yes,no,no,,,,
11,30960,,"acids, aliphatic, monocarboxylic (C6-C22), esters with polyglycerol",yes,no,no,,,,
12,31328,,"acids, fatty, from animal or vegetable food fats and oils",yes,no,no,,,,
13,33120,,"alcohols, aliphatic, monohydric, saturated, linear, primary (C4-C24)",yes,no,no,,,,
14,33801,,n-alkyl(C10-C13)benzenesulphonic acid,yes,no,no,30,,,
15,34130,,"alkyl, linear with even number of carbon atoms (C12-C20) dimethylamines",yes,no,yes,30,,,
16,34230,,alkyl(C8-C22)sulphonic acids,yes,no,no,6,,,
17,34281,,"alkyl(C8-C22)sulphuric acids, linear, primary with an even number of carbon atoms",yes,no,no,,,,
18,34475,,"aluminium calcium hydroxide phosphite, hydrate",yes,no,no,,,,
19,39090,,"N,N-bis(2-hydroxyethyl)alkyl(C8-C18)amine",yes,no,no,,'(7),,
20,39120,,"N,N-bis(2-hydroxyethyl)alkyl(C8-C18)amine hydrochlorides",yes,no,no,,'(7),SML(T) expressed excluding HCl,
21,42500,,"carbonic acid, salts",yes,no,no,,,,
22,43200,,"castor oil, mono- and diglycerides",yes,no,no,,,,
23,43515,,chlorides of choline esters of coconut oil fatty acids,yes,no,no,"0,9",,,'(1)
24,45280,,cotton fibers,yes,no,no,,,,
25,45440,,"cresols, butylated, styrenated",yes,no,no,12,,,
26,46700,,"5,7-di-tert-butyl-3-(3,4- and 2,3-dimethylphenyl)-3H-benzofuran-2-one containing: a) 5,7-di-tert-butyl-3-(3,4-dimethylphenyl)-3H-benzofuran-2-one (80 to 100 % w/w) and b) 5,7-di-tert-butyl-3-(2,3-dimethylphenyl)-3H-benzofuran-2-one (0 to 20 % w/w)",yes,no,no,5,,,
27,48960,,"9,10-dihydroxy stearic acid and its oligomers",yes,no,no,5,,,
28,50160,,di-n-octyltin bis(n-alkyl(C10-C16) mercaptoacetate),yes,no,no,,'(10),,
29,50360,,di-n-octyltin bis(ethyl maleate),yes,no,no,,'(10),,
30,50560,,"di-n-octyltin 1,4-butanediol bis(mercaptoacetate)",yes,no,no,,'(10),,
31,50800,,"di-n-octyltin dimaleate, esterified",yes,no,no,,'(10),,
32,50880,,"di-n-octyltin dimaleate, polymers (n = 2-4)",yes,no,no,,'(10),,
33,51120,,di-n-octyltin thiobenzoate 2-ethylhexyl mercaptoacetate,yes,no,no,,'(10),,
34,54270,,ethylhydroxymethylcellulose,yes,no,no,,,,
35,54280,,ethylhydroxypropylcellulose,yes,no,no,,,,
36,54450,,"fats and oils, from animal or vegetable food sources",yes,no,no,,,,
37,54480,,"fats and oils, hydrogenated, from animal or vegetable food sources",yes,no,no,,,,
38,55520,,glass fibers,yes,no,no,,,,
39,55600,,glass microballs,yes,no,no,,,,
40,56360,,"glycerol, esters with acetic acid",yes,no,no,,,,
41,56486,,"glycerol, esters with acids, aliphatic, saturated, linear, with an even number of carbon atoms (C14-C18) and with acids, aliphatic, unsaturated, linear, with an even number of carbon atoms (C16-C18)",yes,no,no,,,,
42,56487,,"glycerol, esters with butyric acid",yes,no,no,,,,
43,56490,,"glycerol, esters with erucic acid",yes,no,no,,,,
44,56495,,"glycerol, esters with 12-hydroxystearic acid",yes,no,no,,,,
45,56500,,"glycerol, esters with lauric acid",yes,no,no,,,,
46,56510,,"glycerol, esters with linoleic acid",yes,no,no,,,,
47,56520,,"glycerol, esters with myristic acid",yes,no,no,,,,
48,56535,,"glycerol, esters with nonanoic acid",yes,no,no,,,,
49,56540,,"glycerol, esters with oleic acid",yes,no,no,,,,
50,56550,,"glycerol, esters with palmitic acid",yes,no,no,,,,
51,56570,,"glycerol, esters with propionic acid",yes,no,no,,,,
52,56580,,"glycerol, esters with ricinoleic acid",yes,no,no,,,,
53,56585,,"glycerol, esters with stearic acid",yes,no,no,,,,
54,57040,,"glycerol monooleate, ester with ascorbic acid",yes,no,no,,,,
55,57120,,"glycerol monooleate, ester with citric acid",yes,no,no,,,,
56,57200,,"glycerol monopalmitate, ester with ascorbic acid",yes,no,no,,,,
57,57280,,"glycerol monopalmitate, ester with citric acid",yes,no,no,,,,
58,57600,,"glycerol monostearate, ester with ascorbic acid",yes,no,no,,,,
59,57680,,"glycerol monostearate, ester with citric acid",yes,no,no,,,,
60,58300,,"glycine, salts",yes,no,no,,,,
62,64500,,"lysine, salts",yes,no,no,,,,
63,65440,,manganese pyrophosphite,yes,no,no,,,,
64,66695,,methylhydroxymethylcellulose,yes,no,no,,,,
65,67155,,"mixture of 4-(2-benzoxazolyl)-4′-(5-methyl-2-benzoxazolyl)stilbene, 4,4′-bis(2-benzoxazolyl) stilbene and 4,4′-bis(5-methyl-2-benzoxazolyl)stilbene",yes,no,no,,,"Not more than 0,05 % (w/w) (quantity of substance used/quantity of the formulation). Mixture obtained from the manufacturing process in the typical ratio of (58-62 %):(23-27 %):(13-17 %).",
66,67600,,mono-n-octyltin tris(alkyl(C10-C16) mercaptoacetate),yes,no,no,,'(11),,
67,67840,,"montanic acids and/or their esters with ethyleneglycol and/or with 1,3-butanediol and/or with glycerol",yes,no,no,,,,
