Authorised novel food,Conditions under which the novel food may be used,Conditions under which the novel food may be used,Additional specific labelling requirements,Other requirements,Data Protection,footnote
N-Acetyl-D-neuraminic acid,Specified food category,Maximum levels,"The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘N-acetyl-D-neuraminic acid’
Food supplements containing N-acetyl-D-neuraminic acid shall bear a statement that the food supplement should not be given to infants, young children and children under 10 years of age where they consume breast milk or other foods with added N-acetyl-D-neuraminic acid within the same twenty four hour period.",,,
N-Acetyl-D-neuraminic acid,Infant and follow-on formulae as defined by Regulation (EU) No 609/2013 (1),"0,05 g/L of reconstituted formula","The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘N-acetyl-D-neuraminic acid’
Food supplements containing N-acetyl-D-neuraminic acid shall bear a statement that the food supplement should not be given to infants, young children and children under 10 years of age where they consume breast milk or other foods with added N-acetyl-D-neuraminic acid within the same twenty four hour period.",,,"(1) Regulation (EU) No 609/2013 of the European Parliament and of the Council of 12 June 2013 on food intended for infants and young children, food for special medical purposes, and total diet replacement for weight control and repealing Council Directive 92/52/EEC, Commission Directives 96/8/EC, 1999/21/EC, 2006/125/EC and 2006/141/EC, Directive 2009/39/EC of the European Parliament and of the Council and Commission Regulations (EC) No 41/2009 and (EC) No 953/2009 (OJ L 181, 29.6.2013, p. 35). "
N-Acetyl-D-neuraminic acid,Processed cereal-based foods and baby foods for infants and young children as defined by Regulation (EU) No 609/2013,"0,05 g/kg for solid foods","The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘N-acetyl-D-neuraminic acid’
Food supplements containing N-acetyl-D-neuraminic acid shall bear a statement that the food supplement should not be given to infants, young children and children under 10 years of age where they consume breast milk or other foods with added N-acetyl-D-neuraminic acid within the same twenty four hour period.",,,
N-Acetyl-D-neuraminic acid,Foods for special medical purposes for infants and young children as defined by Regulation (EU) No 609/2013,In accordance with the particular nutritional requirements of the infants and young children for whom the products are intended but in any case not higher than the maximum levels specified for the category mentioned in the table corresponding to the products.,"The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘N-acetyl-D-neuraminic acid’
Food supplements containing N-acetyl-D-neuraminic acid shall bear a statement that the food supplement should not be given to infants, young children and children under 10 years of age where they consume breast milk or other foods with added N-acetyl-D-neuraminic acid within the same twenty four hour period.",,,
N-Acetyl-D-neuraminic acid,Total diet replacement foods for weight control as defined by Regulation (EU) No 609/2013,"0,2 g/L (drinks); 1,7 g/kg (bars)","The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘N-acetyl-D-neuraminic acid’
Food supplements containing N-acetyl-D-neuraminic acid shall bear a statement that the food supplement should not be given to infants, young children and children under 10 years of age where they consume breast milk or other foods with added N-acetyl-D-neuraminic acid within the same twenty four hour period.",,,
N-Acetyl-D-neuraminic acid,Foods bearing statements on the absence or reduced presence of gluten in accordance with the requirements of Commission Implementing Regulation (EU) No 828/2014 (2),"1,25 g/kg","The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘N-acetyl-D-neuraminic acid’
Food supplements containing N-acetyl-D-neuraminic acid shall bear a statement that the food supplement should not be given to infants, young children and children under 10 years of age where they consume breast milk or other foods with added N-acetyl-D-neuraminic acid within the same twenty four hour period.",,,"(2) Commission Implementing Regulation (EU) No 828/2014 of 30 July 2014 on the requirements for the provision of information to consumers on the absence or reduced presence of gluten in food (OJ L 228, 31.7.2014, p. 5). "
N-Acetyl-D-neuraminic acid,Unflavoured pasteurised and sterilised (including UHT) milk-based products,"0,05 g/L","The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘N-acetyl-D-neuraminic acid’
Food supplements containing N-acetyl-D-neuraminic acid shall bear a statement that the food supplement should not be given to infants, young children and children under 10 years of age where they consume breast milk or other foods with added N-acetyl-D-neuraminic acid within the same twenty four hour period.",,,
N-Acetyl-D-neuraminic acid,"Unflavoured fermented milk-based products, heat treated after fermentation, flavoured fermented milk products including heat-treated products","0,05 g/L (beverages); 0,4 g/kg (solids)","The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘N-acetyl-D-neuraminic acid’
Food supplements containing N-acetyl-D-neuraminic acid shall bear a statement that the food supplement should not be given to infants, young children and children under 10 years of age where they consume breast milk or other foods with added N-acetyl-D-neuraminic acid within the same twenty four hour period.",,,
N-Acetyl-D-neuraminic acid,"Dairy analogues, including beverage whiteners","0,05 g/L (beverages); 0,25 g/kg (solids)","The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘N-acetyl-D-neuraminic acid’
Food supplements containing N-acetyl-D-neuraminic acid shall bear a statement that the food supplement should not be given to infants, young children and children under 10 years of age where they consume breast milk or other foods with added N-acetyl-D-neuraminic acid within the same twenty four hour period.",,,
N-Acetyl-D-neuraminic acid,Cereal bars,"0,5 g/kg","The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘N-acetyl-D-neuraminic acid’
Food supplements containing N-acetyl-D-neuraminic acid shall bear a statement that the food supplement should not be given to infants, young children and children under 10 years of age where they consume breast milk or other foods with added N-acetyl-D-neuraminic acid within the same twenty four hour period.",,,
