Address of the authorisation holder,Date from which the product is authorised,Date until which the product is authorised,Description and characterisation of the product,Name of the authorisation holder,Name of the product,Unique code,Food category,Maximum level g/kg
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,1.7. Cheese and cheese products,2.0
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,2. Fats and oils and fat and oil emulsions,0.002
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,3. Edible ices,0.005
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,5. Confectionery,0.05
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,8.1.2. Meat preparations as defined by Regulation (EC) No 853/2004 of the European Parliament and of the Council (2),2.0
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,8.2. Processed meat,2.0
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,9.2. Processed fish and fishery products including crustaceans and molluscs,2.0
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,9.3. Fish roe,2.0
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,"12.2. Herbs, spices, seasonings",2.3
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,12.5. Soups and broths,0.23
